Date,Account Creations,Active Users,Active Users Acct Creation On Or After Regwall,Active Users Acct Creation On Regwall,Active Users Purchase On Or After Paywall,Active Users Purchase On Or After Regwall,Basic Subscriber Active Users,Basic Subscriber DAU Per MAU,Basic Subscriber Minutes,Basic Subscriber Page Views,Basic Subscriber Total Users,DAU Per MAU,Digital Subscriber Active Users,Digital Subscriber DAU Per MAU,Digital Subscriber Minutes,Digital Subscriber Page Views,Digital Subscriber Total Users,Event Click Active Users,Event Clicks,Event Registration Click Active Users,Event Registration Clicks,Minutes,New Subscription Finishes,New Subscription Starts,Newsletter Signup Active Users,Newsletter Signups,Newsletter Unsubscribes,Non Registrant Active Users,Non Registrant DAU Per MAU,Non Registrant Minutes,Non Registrant Page Views,Non Registrant Total Users,Page Views,Paywall Active Users,Paywall Conversion Rate,Paywall Views,Print Subscriber Active Users,Print Subscriber DAU Per MAU,Print Subscriber Minutes,Print Subscriber Page Views,Print Subscriber Total Users,Purchase Active Users,Purchases,Registrant Active Users,Registrant DAU Per MAU,Registrant Minutes,Registrant Page Views,Registrant Total Users,Regwall Account Creations,Regwall Active Users,Regwall Conversion Rate,Regwall Purchases,Regwall Views,Site License Active Users,Site License By Domain Active Users,Site License By Domain DAU Per MAU,Site License By Domain Minutes,Site License By Domain Page Views,Site License By Domain Total Users,Site License By IP Active Users,Site License By IP DAU Per MAU,Site License By IP Minutes,Site License By IP Page Views,Site License By IP Total Users,Site License DAU Per MAU,Site License Minutes,Site License Page Views,Site License Total Users,Subscriber Active Users,Subscriber DAU Per MAU,Subscriber Minutes,Subscriber Page Views,Subscriber Total Users,Subscription Renewal Finishes,Subscription Renewal Starts,Total Users
2026-05-25,162,13124,123,122,3,2,34,0.0465116279069767,8149,104,35,0.0169798529206278,346,0.0548075399968319,91682,982,369,1,1,0,0,15900,9,585,27,43,4,10435,0.016467899825931,243181,13743,10690,22314,186,0.0161290322580645,292,123,0.0463276836158192,26398,380,133,10,10,775,0.0258730052747546,112491,1916,851,157.0,5363,0.0229349244825657,0.0,6607,2011,1309,0.0312283798935992,310846,3414,1420,719,0.0061797366521126,160778,1741,781,0.0131042212404373,471624,5155,2184,502,0.0524008350730688,126229,1466,536,1,19,13690
2026-05-24,142,10600,106,106,1,2,32,0.0437158469945355,5412,67,33,0.0135696326982062,258,0.0407325544679507,72232,751,276,6,7,0,0,12168,5,785,20,39,2,8568,0.0133797230359853,126700,10708,8826,17604,174,0.0057471264367816,271,104,0.0389513108614232,21818,332,112,6,6,577,0.0190246958356688,99752,1392,646,140.0,5233,0.0202560672654309,0.0,6304,1682,1216,0.0288329302413809,292461,2957,1303,474,0.0040666798218897,111346,1364,531,0.0109185329438494,403807,4321,1826,394,0.0409265607146566,99462,1150,421,2,5,11101
2026-05-23,165,16804,125,125,7,8,52,0.070460704607046,17050,132,54,0.0209394594917906,387,0.0605065666041275,102297,998,412,7,9,0,0,20468,12,1164,39,72,5,13713,0.0208505656246198,185195,17156,13945,27413,373,0.0187667560321715,532,152,0.0563798219584569,38507,388,159,11,12,1152,0.0370871160903998,201657,2571,1219,165.0,9398,0.0133077823911423,0.0,10930,2588,1995,0.0466208637128435,533676,4496,2099,607,0.0050310816411106,149484,1632,662,0.0163394153671317,683160,6128,2747,591,0.0607399794450154,157854,1518,625,0,0,17304
2026-05-22,275,35979,193,191,7,7,144,0.1945945945945946,46194,308,146,0.043836147185356,1255,0.1939422036779477,379026,3395,1289,12,16,3,3,72848,15,1404,56,88,8,23860,0.0354825085806401,326862,29752,24278,64322,751,0.0093209054593874,1133,477,0.1756906077348066,121359,1290,487,19,19,2036,0.06465339303293,362158,4495,2144,270.0,16992,0.0114969917197831,2.0,19650,11118,6382,0.1470202031836715,1948185,14079,6565,4852,0.0385210825916781,1185793,10569,5073,0.0676153986498814,3133978,24648,11493,1875,0.1908202727457765,546579,4993,1921,5,8,36847
2026-05-21,315,40454,236,236,7,6,159,0.2128514056224899,43348,368,162,0.0492206986336371,1269,0.1946617579383341,386331,3322,1307,18,21,11,12,80932,19,2483,92,164,16,26269,0.0390932753137477,428881,33533,26769,75157,922,0.0075921908893709,1452,515,0.188782991202346,122851,1441,531,23,23,2457,0.0779356721436274,401708,5472,2593,313.0,18910,0.0122393942537081,1.0,22387,13534,7458,0.1712710988632449,2062643,16837,7622,6279,0.0486797016730497,1407898,13721,6536,0.0807041186888413,3470541,30558,13975,1942,0.1962805740853042,552530,5131,1999,5,26,41625
2026-05-20,286,38754,203,202,4,2,133,0.1770972037283621,36120,359,141,0.046998300959394,1141,0.174039048200122,490608,2980,1163,31,46,19,20,62047,12,2215,107,166,2,25783,0.0382993388265247,403854,32115,26234,67125,544,0.0073529411764705,835,468,0.1710526315789473,101802,1316,480,19,19,1739,0.0553945147007294,263100,3791,1875,281.0,16103,0.0124754178957718,0.0,18651,12030,5824,0.1338635162157813,1270181,13263,6004,6317,0.0478553355252193,1155615,12863,6596,0.0703792758481492,2425796,26126,12530,1742,0.1748469336545217,628530,4655,1784,7,31,39867
2026-05-19,233,39564,2,2,4,1,166,0.2228187919463087,25924,381,168,0.0478560110314129,1213,0.184514755095832,242335,3026,1260,31,35,7,8,62851,19,1960,91,141,10,23616,0.0350162359325652,437389,29905,23893,68257,607,0.0065897858319604,856,470,0.1727306137449467,81682,1265,485,19,19,1884,0.0597658852266599,216325,3912,2010,226.0,14985,0.0001452432824981,1.0,17006,13462,6628,0.1520183486238532,1549697,14889,6815,6859,0.0516284916411372,1216319,14380,7151,0.078317073028838,2766016,29269,13899,4303,0.3466247784759142,351327,5171,4371,4,15,40485
2026-05-18,262,35837,188,187,4,8,145,0.1959459459459459,31279,332,147,0.0439733438367745,1289,0.1973664063696218,257675,3161,1320,17,25,4,4,57933,19,2802,245,305,16,22467,0.0337766833092039,426006,28623,22842,65958,571,0.0070052539404553,875,530,0.1967334818114328,118840,1533,542,20,20,1954,0.0626021209111588,268959,4207,2076,254.0,13328,0.0142672839037717,0.0,15648,12094,5753,0.133282364933741,1213214,13487,5914,6507,0.0505688706518698,1159595,14129,6753,0.0722789318926155,2372809,27616,12489,1964,0.1988458033815936,407794,5026,2009,4,12,36845
2026-05-17,158,12064,104,104,0,0,36,0.049315068,2173,90,40,0.0149529,268,0.04126251,46603,686,293,9,9,0,0,10619,1,1010,26,38,2,9795,0.01486361,158069,12191,10107,18668,144,0.0,210,103,0.03878012,12303,220,119,1,1,655,0.021046882,90786,1488,729,158.0,5360,0.019402985,0.0,6416,1772,1190,0.027803738,230199,2670,1300,587,0.004707222,96742,1288,661,0.010876103,326941,3958,1956,407,0.04153485,61079,996,452,0,1,12679
2026-05-16,162,18114,110,109,7,6,55,0.074525745,13455,152,56,0.022103263,328,0.049757282,69832,793,351,1,2,2,2,17208,12,1299,22,36,2,15137,0.022637678,227649,18338,15418,27243,244,0.028688525,398,124,0.04595997,23714,282,131,11,12,1009,0.03186081,180067,2238,1085,159.0,10039,0.010985719,0.0,11427,2536,1849,0.042561517,387210,3894,1980,706,0.005463212,129999,1480,790,0.015124677,517209,5374,2751,507,0.051016301,107001,1227,538,1,1,18703
